data,label
The lax supervision was taken advantage of.,"[0, 1]"
Kim was a banker.,"[0, 1]"
Thunder frightens the dog.,"[0, 1]"
It came to John that it was so.,"[0, 1]"
Sarah smiled.,"[0, 1]"
How long did it last?,"[0, 1]"
John doesn't eat enough.,"[0, 1]"
Jean wants Robert.,"[0, 1]"
Miss Bates can chatter on for hours.,"[0, 1]"
I hit the ball.,"[0, 1]"
This handsome man chased a dog.,"[0, 1]"
"Me, I like beer.","[0, 1]"
Tom is confident that the elephants respect him.,"[0, 1]"
I sent the package to London.,"[0, 1]"
The baby dressed.,"[0, 1]"
Jean never reads this newspaper.,"[0, 1]"
"The door opens, closes.","[0, 1]"
That ball hit a student.,"[0, 1]"
I said this he left,"[1, 0]"
I hope to study in France.,"[0, 1]"
"The more you eat, the less you want.","[0, 1]"
Jean tried to behave.,"[0, 1]"
John immediately learned French perfectly.,"[0, 1]"
The river froze solid.,"[0, 1]"
The dragons simply all died out.,"[0, 1]"
Ions left the electrode.,"[0, 1]"
John died last night.,"[0, 1]"
We wonder whether Bill left.,"[0, 1]"
The time elapsed slowly.,"[0, 1]"
It was kissed her.,"[1, 0]"
The birds devour the worm.,"[0, 1]"
Traci gave a lollipop.,"[1, 0]"
The tree dropped some branches.,"[0, 1]"
Fruit dropped from the tree.,"[0, 1]"
I know that she runs.,"[0, 1]"
I know how much you ate.,"[0, 1]"
The mixture funnels easily.,"[1, 0]"
Carrie touched the cat.,"[0, 1]"
I blew up the building.,"[0, 1]"
Calvin ate not his dinner.,"[1, 0]"
Jean is likely to dance.,"[0, 1]"
An owl hunts mice.,"[0, 1]"
The couple waltzed to the window.,"[0, 1]"
He fed the children.,"[0, 1]"
I sent it to you.,"[0, 1]"
He mended the shoe.,"[0, 1]"
He looks more formidable than he is.,"[0, 1]"
They investigated the problem.,"[0, 1]"
The magician echoed the music.,"[1, 0]"
Rose accompanied.,"[1, 0]"
Paul breathed.,"[0, 1]"
The boy's uncle and aunt were kissing.,"[0, 1]"
Kim must bakes a cake.,"[1, 0]"
This hammer won't break the window.,"[0, 1]"
I washed you.,"[0, 1]"
You or Kerry have perjured yourselves.,"[0, 1]"
Bill pushed Harry along the trail.,"[0, 1]"
Larry all hunted the foxes.,"[1, 0]"
John's I stole bike.,"[1, 0]"
How brave Mike is cowardly and Sam is!,"[1, 0]"
Which goddess might help us?,"[0, 1]"
