data,label
demonstrates just how far his storytelling skills have eroded . ,"[1, 0]"
destruction ,"[1, 0]"
the story is bogus and ,"[1, 0]"
pure hollywood ,"[1, 0]"
vulgar dialogue and ,"[1, 0]"
predictable storyline and by-the-book scripting ,"[1, 0]"
"essentially ruined -- or , rather , overpowered ","[1, 0]"
very insecure ,"[1, 0]"
truth-in-advertising hounds ,"[1, 0]"
dull-witted ,"[1, 0]"
hardhearted scrooge ,"[1, 0]"
which ones shtick ,"[1, 0]"
"eccentric , accident-prone characters ","[1, 0]"
lying ,"[1, 0]"
the worst thing ,"[1, 0]"
"depressing , ruthlessly pained ","[1, 0]"
and immature provocations ,"[1, 0]"
the home video market ,"[1, 0]"
"contrived , unmotivated ","[1, 0]"
corruption ,"[1, 0]"
seriously bad film ,"[1, 0]"
fussing over ,"[1, 0]"
unfulfilling ,"[1, 0]"
movie-biz ,"[1, 0]"
silly and overwrought ,"[1, 0]"
unexceptional ,"[1, 0]"
far more alienating than involving ,"[1, 0]"
awry ,"[1, 0]"
's not only dull ,"[1, 0]"
"too fancy , not too filling ","[1, 0]"
her life half-asleep ,"[1, 0]"
a disaster ,"[1, 0]"
"that 's neither completely enlightening , nor ","[1, 0]"
hanging ,"[1, 0]"
"life , hand gestures , and ","[1, 0]"
talky films ,"[1, 0]"
no clue ,"[1, 0]"
live-action cartoon ,"[1, 0]"
a documentary and more propaganda ,"[1, 0]"
"rushed , slapdash , ","[1, 0]"
", partisans and sabotage ","[1, 0]"
anguished ,"[1, 0]"
blacked out ,"[1, 0]"
obvious copy ,"[1, 0]"
waters ,"[1, 0]"
a child 's pain ,"[1, 0]"
an incomprehensible ,"[1, 0]"
than bad ,"[1, 0]"
few points ,"[1, 0]"
sequences boring ,"[1, 0]"
assert ,"[1, 0]"
the action clichés just pile up . ,"[1, 0]"
problematic quest ,"[1, 0]"
an eviction notice ,"[1, 0]"
"vulgar , sexist ","[1, 0]"
` juvenile delinquent ' paperbacks ,"[1, 0]"
fetid underbelly ,"[1, 0]"
", and totally disorientated ","[1, 0]"
jumbled ,"[1, 0]"
its standard formula ,"[1, 0]"
wears ,"[1, 0]"
"episodic choppiness , ","[1, 0]"
so horrendously confusing ,"[1, 0]"
mopes ,"[1, 0]"
an apartheid drama ,"[1, 0]"
joyless ,"[1, 0]"
the film 's predictable denouement ,"[1, 0]"
mishandled ,"[1, 0]"
", but slow ","[1, 0]"
exploitation piece ,"[1, 0]"
bad movie ,"[1, 0]"
odoriferous thing ,"[1, 0]"
fat ,"[1, 0]"
both ugly and mindless ,"[1, 0]"
sour attempt ,"[1, 0]"
it 's so lackluster ,"[1, 0]"
suffocating ,"[1, 0]"
snide ,"[1, 0]"
the great pity ,"[1, 0]"
stiletto-stomps the life out ,"[1, 0]"
the smug self-satisfaction ,"[1, 0]"
you snore ,"[1, 0]"
"appalling , shamelessly manipulative and contrived , and ","[1, 0]"
by a noticeable lack of pace ,"[1, 0]"
bad idea ,"[1, 0]"
crude ,"[1, 0]"
warned ,"[1, 0]"
bloated ,"[1, 0]"
unlikable characters and a self-conscious sense ,"[1, 0]"
the hell ,"[1, 0]"
bug-eyed mugging ,"[1, 0]"
", overmanipulative hollywood practices ","[1, 0]"
manipulative whitewash ,"[1, 0]"
depraved ,"[1, 0]"
recycled ,"[1, 0]"
sex gags and prom dates ,"[1, 0]"
accident ,"[1, 0]"
tired stereotypes ,"[1, 0]"
bombastic self-glorification ,"[1, 0]"
that already-shallow ,"[1, 0]"
no surprises ,"[1, 0]"
grotesque ,"[1, 0]"
