data1,data2,label
Monmouth university electrical engineering?,Combination of SAP bi and fico?,"[1, 0]"
"""What is another word for """"so""""?""","""What's another word for """"effectiveness""""?""","[1, 0]"
How many times a day do you eat?,How many times a day should I eat?,"[1, 0]"
"""What does """"Que chafa!"""" mean in Spanish?""","""What does """"vuestro"""" mean in Spanish?""","[1, 0]"
"""What are some sentence examples using """"ecsastic""""?""","""What are some sentence examples using """"furthermore""""?""","[1, 0]"
Schools in Noida?,App store not working?,"[1, 0]"
"""What is another word for """"then""""?""","""What is another word for """"girlfriend""""?""","[1, 0]"
What color are my eyes?,What color makes brown eyes pop?,"[1, 0]"
Evaluate: [math]\sqrt{1+2\sqrt{1+3\sqrt{1+4\sqrt{1+5\sqrt{}...}}}}[/math],Evaluate: [math] \sqrt{1-\sqrt{2+\sqrt{3-\sqrt{4+\sqrt{5-...\sqrt{n}}}}}} [/math]?,"[1, 0]"
Daily requirement of hosteler?,What genre of music is Owel?,"[1, 0]"
"""What is another word for """"would""""?""","""What is another word for """"girlfriend""""?""","[1, 0]"
How often do Americans have sex?,How often shall I have sex?,"[1, 0]"
How much butterfly is there?,Which butterfly is this?,"[1, 0]"
"""How do I say """"shut up"""" in Russian?""","""How do you say """"learn Chinese"""" in Russian?""","[1, 0]"
"""What happens in """"The Watcher""""?""","""What happens in """"The Patriot""""?""","[1, 0]"
How many dermatologists are there in South India?,How many dermatologists are there in india?,"[1, 0]"
"""What part of speech is """"then""""?""","""What part of speech is """"this""""?""","[1, 0]"
Reasons to join Infosys?,The leasing market?,"[1, 0]"
"""How is """"Vladimir"""" pronounced in Russian?""","""How is """"Helena"""" pronounced?""","[1, 0]"
Being silience any problems occur?,Which microcontroller teach?,"[1, 0]"
What type of rock is this?,Which type of rock is this?,"[1, 0]"
How far can sunlight travel in space?,How far have humans travelled in space?,"[1, 0]"
"""How do you pronounce """"O(n)""""?""","""How should one pronounce """"Google I/O""""?""","[1, 0]"
How long does jaundice last in adults?,How long does jaundice last?,"[1, 0]"
"""What does """"Forklet"""" mean?""","""What does """"mean"""" (adj.) mean?""","[1, 0]"
"""How do you pronounce """"Hamferð""""?""","""How do you pronounce """"Dohnányi""""?""","[1, 0]"
Native SQL query?,"""What are some sentence examples using """"anachronistic""""?""","[1, 0]"
Hubspot vs pipedrive?,Notch filter application?,"[1, 0]"
Teachers day theme?,Children Jazz Dance Costumes--aodress.com?,"[1, 0]"
What colors go well with white?,What colors go well with red?,"[1, 0]"
Production and Technology of vertical Mill?,The weakness of Tinder?,"[1, 0]"
"""Is """"Thank you muchly"""" grammatically correct?""","""Is """"Go You"""" grammatically correct?""","[1, 0]"
How long do?,How long does gravity last?,"[1, 0]"
"""What inspired the song """"Hallelujah""""?""","""Who originally wrote the song """"Hallelujah""""?""","[1, 0]"
How many gender identities exist?,How many sexes and genders are there?,"[1, 0]"
Any idea of what sweater this is?,What sweater is this?,"[1, 0]"
"""What is """"angdai lena"""" called in English?""","""What do you call """"Kharra/Mawa"""" in English?""","[1, 0]"
How many states are there in Pakistan?,How many Sikh are there in Pakistan?,"[1, 0]"
What animals eat mice?,What animals eat mosquitoes?,"[1, 0]"
"""How could we say """"也是醉了"""" in English?""","""How do I say """"有规律可循"""" in English?""","[1, 0]"
"""What does """"="""" mean in java?""","""What does """"!"""" mean in Java?""","[1, 0]"
"""How do you think you are """"Different""""...?""","""How can I """"think differently""""?""","[1, 0]"
Income statement of Flipkart?,Important questions of anatomy pectoral region?,"[1, 0]"
MBA in India?,Assembling multi brand home theatre?,"[1, 0]"
How big a planet can be?,How big is the planet?,"[1, 0]"
Public administration as optional subject?,Diploma courses after B pharmacy?,"[1, 0]"
"""What does """"iralos"""" in Spanish mean?""","""What does """"anoque"""" mean in Spanish?""","[1, 0]"
How many Twitter users are there in Switzerland?,How many Twitter users are there?,"[1, 0]"
How prestigious is Cornell in California?,How prestigious is Cornell?,"[1, 0]"
How many time zones does Australia have?,How many time zones are there?,"[1, 0]"
What kind of animals estivate?,What kind of animal is this?,"[1, 0]"
