data,label
a rejected x-files episode ,"[1, 0]"
unpaid ,"[1, 0]"
genre cliches ,"[1, 0]"
this supposedly funny movie ,"[1, 0]"
a crucial third act miscalculation ,"[1, 0]"
getting the better of obnoxious adults ,"[1, 0]"
", hole-ridden plotting ","[1, 0]"
"this overlong infomercial , ","[1, 0]"
a low-rent retread ,"[1, 0]"
tiresome love triangles ,"[1, 0]"
", unholy hokum . ","[1, 0]"
a sour taste ,"[1, 0]"
the worst dialogue ,"[1, 0]"
turd ,"[1, 0]"
movie sputters ,"[1, 0]"
determination to inject farcical raunch ,"[1, 0]"
the biggest problem i have ,"[1, 0]"
overmanipulative hollywood practices ,"[1, 0]"
"rushed , slapdash , sequel-for-the-sake - of-a-sequel ","[1, 0]"
no one can hear you snore ,"[1, 0]"
its pulpy core conceit ,"[1, 0]"
narcissistic ,"[1, 0]"
: it 's not really funny . ,"[1, 0]"
naked teenagers horror flick ,"[1, 0]"
wafer-thin ,"[1, 0]"
worse ,"[1, 0]"
flabby ,"[1, 0]"
totally past his prime ,"[1, 0]"
incurably ,"[1, 0]"
a one-trick pony ,"[1, 0]"
showing off ,"[1, 0]"
its unsettling prognosis ,"[1, 0]"
the insanity ,"[1, 0]"
showtime deserves the hook . ,"[1, 0]"
demonstrates just how far his storytelling skills have eroded . ,"[1, 0]"
destruction ,"[1, 0]"
the story is bogus and ,"[1, 0]"
pure hollywood ,"[1, 0]"
vulgar dialogue and ,"[1, 0]"
predictable storyline and by-the-book scripting ,"[1, 0]"
"essentially ruined -- or , rather , overpowered ","[1, 0]"
very insecure ,"[1, 0]"
truth-in-advertising hounds ,"[1, 0]"
dull-witted ,"[1, 0]"
hardhearted scrooge ,"[1, 0]"
which ones shtick ,"[1, 0]"
"eccentric , accident-prone characters ","[1, 0]"
lying ,"[1, 0]"
the worst thing ,"[1, 0]"
"depressing , ruthlessly pained ","[1, 0]"
and immature provocations ,"[1, 0]"
the home video market ,"[1, 0]"
"contrived , unmotivated ","[1, 0]"
corruption ,"[1, 0]"
seriously bad film ,"[1, 0]"
fussing over ,"[1, 0]"
unfulfilling ,"[1, 0]"
movie-biz ,"[1, 0]"
silly and overwrought ,"[1, 0]"
unexceptional ,"[1, 0]"
far more alienating than involving ,"[1, 0]"
awry ,"[1, 0]"
's not only dull ,"[1, 0]"
"too fancy , not too filling ","[1, 0]"
her life half-asleep ,"[1, 0]"
a disaster ,"[1, 0]"
"that 's neither completely enlightening , nor ","[1, 0]"
hanging ,"[1, 0]"
"life , hand gestures , and ","[1, 0]"
talky films ,"[1, 0]"
