data1,data2,label
Monmouth university electrical engineering?,Combination of SAP bi and fico?,"[1, 0]"
"""What is another word for """"so""""?""","""What's another word for """"effectiveness""""?""","[1, 0]"
How many times a day do you eat?,How many times a day should I eat?,"[1, 0]"
"""What does """"Que chafa!"""" mean in Spanish?""","""What does """"vuestro"""" mean in Spanish?""","[1, 0]"
"""What are some sentence examples using """"ecsastic""""?""","""What are some sentence examples using """"furthermore""""?""","[1, 0]"
Schools in Noida?,App store not working?,"[1, 0]"
"""What is another word for """"then""""?""","""What is another word for """"girlfriend""""?""","[1, 0]"
What color are my eyes?,What color makes brown eyes pop?,"[1, 0]"
Evaluate: [math]\sqrt{1+2\sqrt{1+3\sqrt{1+4\sqrt{1+5\sqrt{}...}}}}[/math],Evaluate: [math] \sqrt{1-\sqrt{2+\sqrt{3-\sqrt{4+\sqrt{5-...\sqrt{n}}}}}} [/math]?,"[1, 0]"
Daily requirement of hosteler?,What genre of music is Owel?,"[1, 0]"
"""What is another word for """"would""""?""","""What is another word for """"girlfriend""""?""","[1, 0]"
How often do Americans have sex?,How often shall I have sex?,"[1, 0]"
How much butterfly is there?,Which butterfly is this?,"[1, 0]"
"""How do I say """"shut up"""" in Russian?""","""How do you say """"learn Chinese"""" in Russian?""","[1, 0]"
"""What happens in """"The Watcher""""?""","""What happens in """"The Patriot""""?""","[1, 0]"
How many dermatologists are there in South India?,How many dermatologists are there in india?,"[1, 0]"
"""What part of speech is """"then""""?""","""What part of speech is """"this""""?""","[1, 0]"
Reasons to join Infosys?,The leasing market?,"[1, 0]"
"""How is """"Vladimir"""" pronounced in Russian?""","""How is """"Helena"""" pronounced?""","[1, 0]"
Being silience any problems occur?,Which microcontroller teach?,"[1, 0]"
What type of rock is this?,Which type of rock is this?,"[1, 0]"
How far can sunlight travel in space?,How far have humans travelled in space?,"[1, 0]"
"""How do you pronounce """"O(n)""""?""","""How should one pronounce """"Google I/O""""?""","[1, 0]"
How long does jaundice last in adults?,How long does jaundice last?,"[1, 0]"
"""What does """"Forklet"""" mean?""","""What does """"mean"""" (adj.) mean?""","[1, 0]"
"""How do you pronounce """"Hamferð""""?""","""How do you pronounce """"Dohnányi""""?""","[1, 0]"
Native SQL query?,"""What are some sentence examples using """"anachronistic""""?""","[1, 0]"
Hubspot vs pipedrive?,Notch filter application?,"[1, 0]"
Teachers day theme?,Children Jazz Dance Costumes--aodress.com?,"[1, 0]"
What colors go well with white?,What colors go well with red?,"[1, 0]"
Production and Technology of vertical Mill?,The weakness of Tinder?,"[1, 0]"
"""Is """"Thank you muchly"""" grammatically correct?""","""Is """"Go You"""" grammatically correct?""","[1, 0]"
How long do?,How long does gravity last?,"[1, 0]"
"""What inspired the song """"Hallelujah""""?""","""Who originally wrote the song """"Hallelujah""""?""","[1, 0]"
How many gender identities exist?,How many sexes and genders are there?,"[1, 0]"
How important is to be communicative?,How important is communication to you?,"[1, 0]"
"""How do I pronounce """"Padmé""""?""","""How do you pronounce """"talk""""?""","[1, 0]"
"""What part of speech is """"was""""?""",What part of speech is tell?,"[1, 0]"
You are what you eat?,Facts about Indian army disappointing Indian?,"[1, 0]"
How fast does a computer read?,How fast is quantum computer?,"[1, 0]"
What is tan of tan (inverse) of (-4)?,What is tan of 2 tan (inverse) 1/5?,"[1, 0]"
What part of speech is tell?,"""What part of speech is """"this""""?""","[1, 0]"
What foods cause farting?,What food causes less gas?,"[1, 0]"
How old is Justsold.in?,How old are you?,"[1, 0]"
How frequent should one have sex?,How frequently can I have sex?,"[1, 0]"
Google machine learning?,"Life coaches, can you answer this question?","[1, 0]"
How many hours does Beyoncé sleep?,How many hours should we sleep?,"[1, 0]"
What colours complement amber?,What colors complement grey?,"[1, 0]"
How many hours do you sleep every day?,How many hours do psychopaths sleep each day?,"[1, 0]"
How fast are you?,How fast is fast?,"[1, 0]"
"""How common is """"common"""" in common sense?""","""How common is """"common sense""""?""","[1, 0]"
Significance of Muharram?,Most viewed writer on Ayurveda?,"[1, 0]"
